Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
03-01-2000,234804.3582,281414.9482,194662.8385,218321.2391,623604.5207,274205.9914,254411.3184,610418.9747,53792.24701,82879.54173
04-01-2000,230554.3993,274098.1595,189445.8744,214042.1428,590304.0393,262140.9278,246066.6271,583621.5817,54045.07057,79829.5746
05-01-2000,230254.6786,273988.5203,190525.7159,218879.4953,583869.7253,262167.1419,245131.5739,597161.6024,55925.83903,79526.22222
06-01-2000,231820.4104,275577.6537,194660.1239,227634.6751,555084.9478,257133.5327,245719.8897,613165.5334,56244.61631,81387.13582
07-01-2000,236711.8211,288832.9388,200908.7139,230275.2373,574568.4295,259524.8746,256212.129,659827.4304,56880.18048,83006.73982
10-01-2000,244902.0501,288255.273,201049.35,227074.4115,600194.1815,268089.1955,255597.2199,655208.6384,56715.22795,82965.23645
11-01-2000,245000.0109,282000.1335,199521.3749,228141.6612,584829.2104,260395.0355,253731.3602,647804.7808,56374.93659,81861.7988
12-01-2000,242697.0108,286624.9357,199641.0877,225700.5455,575471.943,262712.5514,252488.0765,646379.6103,56803.3861,81960.03296
13-01-2000,244274.5414,287370.1605,200779.0419,230598.2473,587038.9291,266994.7659,254785.718,655881.3906,56888.59118,83812.32971
14-01-2000,242051.643,290272.5992,200397.5618,228822.6408,603182.4997,269317.6204,253766.5751,664079.908,56712.23655,85052.75219
18-01-2000,243092.4651,295729.724,197772.3537,234794.9117,608490.5057,269640.8016,252903.7688,654915.6052,56196.1552,83377.21297
19-01-2000,245523.3897,294103.2106,197831.6854,236109.7632,610741.9205,271555.2512,253080.8014,663167.5419,56791.83444,83252.14715
20-01-2000,243411.8886,293073.8493,194765.2943,232922.2814,616177.5236,270441.8747,250701.8419,659188.5366,57041.71851,81820.21022
21-01-2000,244994.0659,289762.1148,192097.0098,238535.7084,620121.0598,274146.9284,247141.8757,659649.9686,58365.08638,81100.19237
24-01-2000,238820.2154,286835.5175,187774.827,234552.1621,601083.3432,269376.7718,238714.3378,630559.405,58633.56578,79721.4891
25-01-2000,237315.6481,282102.7314,185634.194,233121.3939,613165.1184,266709.9418,239072.4093,633712.202,57654.38523,80383.17746
26-01-2000,235251.0019,280607.5869,187601.9165,230323.9372,595199.3805,265536.4181,240124.3279,638781.8996,58236.69452,82071.22418
27-01-2000,231439.9357,286528.407,188089.6814,224542.8063,590973.4649,263412.1267,237795.1219,637248.823,57997.92408,82563.65153
28-01-2000,225630.7933,278849.4457,181863.913,220343.8559,569639.3228,256220.9757,228949.1434,644322.285,57226.55169,80260.12565
31-01-2000,227503.5289,281442.7456,182354.9456,228166.0627,576816.7782,267033.5008,231673.6382,660881.3677,58142.17651,81640.59981
01-02-2000,227412.5275,285917.6852,183977.9046,228211.696,592736.9213,267727.7879,238855.521,662137.0423,58037.52059,82065.13093
02-02-2000,228094.7651,280942.7175,183554.7554,227298.8492,597478.8167,267245.8779,238449.4666,662401.8971,57933.05306,81753.28343
03-02-2000,228938.7157,281420.3201,185390.3029,224071.2055,619227.0456,267406.2254,241549.3096,665316.4655,58999.02123,81965.84197
04-02-2000,228274.7934,278380.9807,184852.6711,221673.6436,625357.3934,269652.4377,239471.9856,665848.7186,57895.73954,81269.13231
07-02-2000,227384.5217,276738.5329,181895.0283,223513.5349,635488.1831,272942.1975,235257.2786,676169.3738,57392.0466,80789.64443
08-02-2000,228134.8906,277707.1177,182204.2499,219959.6697,645973.7382,276026.4443,244314.6839,687731.8701,57770.83411,81379.40884
09-02-2000,226811.7083,273319.3453,179088.5572,212788.9844,636348.7295,270009.0678,238646.5832,670125.9342,57424.20911,79540.2342
10-02-2000,225496.2004,270777.4754,179052.7395,215257.3366,654293.7636,272250.1431,238694.3125,658465.7429,57085.40627,78410.76287
11-02-2000,221888.2612,264847.4487,176134.1798,210198.7892,637282.1258,269309.8415,235113.8978,639765.3158,56742.89383,78026.55013
14-02-2000,219647.1897,269111.4926,177314.2788,214570.9241,638747.8747,268825.0838,236853.7407,647122.617,56924.47109,77332.11384
15-02-2000,220965.0729,266016.7104,182030.8387,222037.9922,641111.2418,265921.7729,235858.955,653787.9799,57066.78227,78437.96307
16-02-2000,216899.3155,265511.2787,180720.2166,222482.0682,639444.3526,264645.3484,226896.3147,660783.5113,56924.11532,77747.70899
17-02-2000,216747.486,264608.5403,180033.4798,219567.5531,653703.9616,265968.5752,219317.9778,666466.2495,56702.11127,77055.75438
18-02-2000,213691.3464,257702.2574,174722.4921,212585.3049,634681.1764,255702.1881,215962.4127,651204.1724,55721.16474,74990.66016
22-02-2000,215507.7229,259609.2541,178356.72,211267.276,634808.1126,254883.9411,215660.0653,652832.1828,55325.54447,75013.15736
23-02-2000,215938.7383,256519.904,177340.0867,208584.1816,658613.4168,255113.3367,215228.7452,654660.1129,54683.76816,75058.16526
24-02-2000,213088.347,255057.7405,175442.5478,207374.3934,674024.9708,252256.0673,209309.9547,645756.7354,53272.92694,74082.40911
25-02-2000,209764.1688,258322.4796,170775.776,204139.3528,668160.9535,249254.2201,210147.1945,637168.1708,52708.23391,73208.23668
28-02-2000,213372.1125,258735.7956,173303.2575,209385.7342,665221.0453,250998.9997,215653.051,637359.3213,53883.62753,74599.19318
29-02-2000,213286.7636,256640.0356,175556.1998,215395.1048,680920.262,257223.7749,222424.5568,644561.4816,53991.39478,75598.82237
01-03-2000,215462.2886,257153.3157,175240.1987,219853.7834,692359.7224,266303.7741,221712.7982,643852.464,53851.01716,76672.32564
02-03-2000,211131.4966,255584.6805,175380.3908,223151.5902,690698.0591,273360.8241,219495.6702,645912.7919,54174.12326,76043.61257
03-03-2000,212989.4538,261156.4265,180080.5853,221165.541,717428.074,278308.655,223095.3992,654697.2058,54547.92471,77207.07985
06-03-2000,209155.6436,259537.2567,177541.449,218754.8366,718647.7017,273716.5622,218945.8248,641930.6103,53096.94991,76334.63984
07-03-2000,205077.1086,254164.8355,166640.4041,236473.9784,709161.552,267475.8246,210319.3593,610026.659,53102.25961,74418.64038
08-03-2000,205528.2782,258612.7201,166390.4435,232761.3369,715969.5029,270819.2724,214609.8742,631072.5787,53081.0187,73949.80295
09-03-2000,208796.1778,259595.4484,168536.8802,234413.9424,741601.2111,276831.4603,219889.2772,653980.5133,53309.26708,74896.36043
10-03-2000,205184.004,258660.9048,167272.8536,229561.5738,739821.3682,276720.7277,217162.6501,650449.0186,53661.10825,74903.85006
13-03-2000,204568.4519,260523.2633,166804.4896,226003.3694,727392.3692,271130.969,215034.4561,627358.0784,53306.94493,75076.12892
14-03-2000,203668.3508,254687.5422,163918.7719,227268.9883,703461.1603,267416.4747,213830.2632,601385.4539,52912.47354,74332.87524
15-03-2000,212975.9944,267345.5131,171344.2923,227064.4462,685241.5162,263512.1942,226595.9299,634100.8226,54610.96394,77618.38833
16-03-2000,223582.1989,279028.512,179551.6839,234920.876,706141.3825,272208.0966,242842.8581,669610.4687,56926.46881,82787.77299
17-03-2000,222486.6461,276433.5468,178618.0151,229165.3146,723794.917,274440.203,243061.4166,653338.9343,55970.10414,83143.76041
20-03-2000,222620.1381,274277.3652,179457.5198,223413.2652,710983.747,273479.6623,240849.5578,637985.4694,55852.56692,81771.88837
21-03-2000,225914.9162,278007.5373,184087.5238,229892.2499,729540.4228,274464.1891,246003.7383,649022.618,55735.27653,84192.33626
22-03-2000,223226.5287,276478.4959,183995.48,228719.7994,748873.244,274272.0641,244749.1192,662003.0703,54765.48272,85042.67886
23-03-2000,223963.1762,282339.84,189055.3558,229405.9588,762877.1737,277508.4745,244137.2464,656243.6436,55466.48089,87551.43789
24-03-2000,223492.8535,281069.3107,189490.1831,232319.4145,765318.3806,278118.9931,246334.4816,638656.314,55616.24039,87761.56134
27-03-2000,220632.145,281687.6632,187652.1283,230902.2661,768915.377,282040.4709,245423.0441,635846.2262,56094.54006,85909.79239
28-03-2000,220367.3864,279518.6682,186169.6765,228962.687,749384.9264,278599.5772,243410.5751,636672.8263,55230.68414,85866.8375
29-03-2000,221226.8192,279043.4865,189334.561,240777.1617,721507.8072,279240.3562,252538.4717,642084.5453,56307.68248,85403.15657
30-03-2000,226624.7536,283005.904,189050.5591,240415.9959,694667.7168,274102.3336,254078.9563,631875.401,56803.19009,85044.46332
31-03-2000,229162.9509,284647.3382,188804.7934,241017.0359,708561.0711,278487.971,252224.18,643122.7832,57206.49274,86473.2103
03-04-2000,231248.3337,287835.3884,191617.9848,243668.2233,664913.7091,277958.8438,259589.126,661966.2807,57343.78832,88306.44236
04-04-2000,233075.1956,289188.2147,190889.8365,241109.707,661057.2096,272371.8711,254371.3846,675536.5895,57836.9449,85524.78942
05-04-2000,229276.0699,289361.7276,189744.4975,235033.7423,666874.513,270519.7424,251522.4251,679049.3798,58079.86007,85370.8448
06-04-2000,229115.5766,294628.1111,192211.1759,238606.2552,680345.3782,276038.3451,255898.9153,669067.3539,57533.90939,86437.98036
07-04-2000,229115.5766,290444.3919,193883.4132,235218.0464,709123.9877,277860.1982,257255.1795,666993.2451,57441.85513,85357.50561
10-04-2000,227397.2098,297153.6574,194038.5199,229902.1186,672675.0147,272942.0727,259904.9079,670394.9106,58291.99459,86561.04644
11-04-2000,230125.9763,301402.9547,196774.463,234569.1316,650947.6118,270567.4766,261386.3659,676897.7413,58501.84577,86742.82463
12-04-2000,230148.9889,305502.0349,195711.8809,235155.5544,606162.4161,263235.098,260079.434,670873.3514,59227.26865,87081.12165
13-04-2000,227686.3947,305746.4365,191073.5094,233979.7766,593857.319,259786.7182,251704.8762,668055.6833,60417.73675,85522.36957
14-04-2000,219580.7591,287401.6503,181366.9751,229206.5892,543795.147,245134.7473,234362.4103,633984.8434,58792.49964,79681.19173
17-04-2000,224148.0389,301829.2131,187859.9128,223499.3451,590724.6682,242560.8325,232159.4036,641022.0752,59233.44338,80039.75709
18-04-2000,224753.2386,303489.2738,188799.2123,227946.9821,624514.1192,252942.4361,237127.6149,668009.1046,59008.3563,82825.14064
19-04-2000,226843.4437,302032.5253,188062.8954,231252.2133,607652.238,254257.7368,239356.6144,668944.3173,59149.97635,81914.06409
20-04-2000,227886.9235,304025.94,191297.5772,233934.739,602244.1331,249935.3553,243545.3552,664930.6514,59782.8811,83200.1149
